dist	strand	type
-6	-	model1
113	-	model1
113	-	model1
113	-	model1
113	-	model1
113	-	model1
113	-	model1
-4	-	model1
-4	-	model1
-16	-	model1
18	-	model1
94	-	model1
83	-	model1
83	-	model1
83	-	model1
-85	-	model1
-85	-	model1
-140	-	model1
70	-	model1
-51	+	model1
-37	-	model1
14	+	model1
-1	+	model1
-115	+	model1
-31	+	model1
-91	+	model1
-53	+	model1
-9	+	model1
-9	+	model1
0	+	model1
-205	+	model1
-205	+	model1
-39	+	model1
-49	+	model1
-49	+	model1
5	+	model1
2	+	model1
-34	+	model1
-3	+	model1
0	+	model1
-1	-	model1
-4	+	model1
-10	+	model1
-129	+	model1
-84	+	model1
-84	+	model1
-116	+	model1
11	+	model1
-351	-	model1
-61	-	model1
-61	-	model1
-324	-	model1
-101	-	model1
28	-	model1
47	-	model1
62	-	model1
62	-	model1
38	-	model1
58	-	model1
46	-	model1
84	-	model1
-3	-	model1
-3	-	model1
-3	-	model1
-31	-	model1
2	-	model1
29	-	model1
-13	-	model1
-22	-	model1
0	-	model1
-8	-	model1
-123	+	model1
75	-	model1
49	+	model1
-21	+	model1
-219	+	model1
26	-	model1
-51	+	model1
0	+	model1
-49	+	model1
-49	+	model1
-49	+	model1
5	+	model1
2	+	model1
-34	+	model1
-3	+	model1
0	+	model1
0	+	model1
0	+	model1
-9	+	model1
-10	+	model1
-106	+	model1
-116	+	model1
-55	+	model1
-132	+	model1
11	+	model1
-151	+	model1
-121	+	model1
-24	-	model1
29	-	model1
145	-	model1
91	-	model1
77	-	model1
-351	-	model1
-61	-	model1
-61	-	model1
-282	-	model1
-324	-	model1
-101	-	model1
28	-	model1
47	-	model1
62	-	model1
38	-	model1
58	-	model1
46	-	model1
45	-	model1
235	-	model1
-3	-	model1
-3	-	model1
-3	-	model1
-3	-	model1
9	-	model1
-31	-	model1
2	-	model1
29	-	model1
-13	-	model1
-47	-	model1
47	-	model1
8	-	model1
0	-	model1
-8	-	model1
1	-	model1
-123	+	model1
75	-	model1
-1	-	model1
-121	+	model1
49	+	model1
-21	+	model1
-219	+	model1
-184	+	model1
26	-	model1
-51	+	model1
3	+	model1
1	-	model1
1	+	model1
-2	+	model1
0	+	model1
-45	+	model1
2	+	model1
0	+	model1
-10	+	model1
-84	+	model1
-84	+	model1
-55	+	model1
-84	+	model1
11	+	model1
-151	+	model1
46	-	model1
79	-	model1
16	-	model1
-3	-	model1
-3	-	model1
-3	-	model1
2	-	model1
-123	+	model1
75	-	model1
-12	+	model1
-21	+	model1
-219	+	model1
1	+	model1
-16	+	model1
-47	+	model1
13	+	model1
38	+	model1
-106	+	model1
-15	-	model1
39	-	model1
