group	variable	value
lower	mean	0.3234828145
lower	mean	0.329320697333333
lower	mean	0.133661394316667
lower	mean	0.0939869281166666
lower	mean	0.0392669231101694
lower	mean	0.299748334333333
lower	mean	0.0217312980672268
lower	mean	0.115167566109244
lower	mean	0.0566929304789916
lower	mean	0.0506907714083333
lower	mean	0.953385458333333
lower	mean	0.169829148416667
lower	mean	0.0730703679243697
lower	mean	0.0272966296583333
lower	mean	0.0364906031260504
lower	mean	0.17216646175
lower	mean	0.0641483932083333
lower	mean	0.0995250492666666
lower	mean	0.174669676916667
lower	mean	0.108845475883333
lower	mean	0.122998150433333
lower	mean	0.107159925083333
lower	mean	0.107747849858333
lower	mean	0.056168281725
lower	mean	0.0498348317833333
lower	mean	0.92398844025
lower	mean	0.225599122666667
lower	mean	0.0813889843499999
lower	mean	0.0796413841333333
lower	mean	0.153622244383333
lower	mean	0.0962288786583333
lower	mean	0.117695344798319
lower	mean	0.0241736362083333
lower	mean	0.042073447525
lower	mean	0.113800789891667
lower	mean	0.151663879991597
lower	mean	0.021107482125
lower	mean	0.283653949916667
lower	mean	0.138301406233333
lower	mean	0.948771802773109
lower	mean	0.0280113479416666
lower	mean	0.223578436
lower	mean	0.20039183575
lower	mean	0.911399325416667
lower	mean	0.0477236591416666
lower	mean	0.903117511092437
lower	mean	0.0800151178583333
lower	mean	0.554738169416667
lower	mean	0.980677995
lower	mean	0.0564593670833333
lower	mean	0.15761003175
lower	mean	0.227111559
lower	mean	0.0815454689159663
lower	mean	0.113537201275
lower	mean	0.035816932375
lower	mean	0.550820547416667
lower	mean	0.0140509834882352
lower	mean	0.01260411745
lower	mean	0.164389376666667
lower	mean	0.0262237259416666
lower	mean	0.178792884833333
lower	mean	0.073968679425
lower	mean	0.647457559833333
lower	mean	0.170898262833333
lower	mean	0.810008778583333
lower	mean	0.0251572244041666
lower	mean	0.535733071333333
lower	mean	0.0188362518875
lower	mean	0.11611368185
lower	mean	0.045077264375
lower	mean	0.0535057213361344
lower	mean	0.472389605416667
lower	mean	0.0385197457833333
lower	mean	0.054819418
lower	mean	0.0589910139249999
lower	mean	0.37682481
lower	mean	0.19027354
lower	mean	0.121106650966386
lower	mean	0.109678988525
lower	mean	0.0533946104333333
lower	mean	0.254076277333333
lower	mean	0.348409096916667
lower	mean	0.0881941498067227
lower	mean	0.092978386325
lower	mean	0.0712743020416666
lower	mean	0.0533698793583333
lower	mean	0.0419894347833333
lower	mean	0.928928673583333
lower	mean	0.967952834621849
lower	mean	0.983732314957983
lower	mean	0.0468316168416666
lower	mean	0.157086758458333
lower	mean	0.165079262083333
lower	mean	0.180470734416667
lower	mean	0.134729497605042
lower	mean	0.292097159083333
lower	mean	0.826104571911765
lower	mean	0.165596682416667
lower	mean	0.0882367462352941
lower	mean	0.0497713874117647
lower	mean	0.14948195085
lower	mean	0.0417550283445378
lower	mean	0.103703400283333
lower	mean	0.0709985198083333
lower	mean	0.959411728
lower	mean	0.070312861975
lower	mean	0.73292166675
lower	mean	0.955368852333333
lower	mean	0.0634868354333333
lower	mean	0.206409688666667
lower	mean	0.118444938833333
lower	mean	0.0706224563109243
lower	mean	0.64600311
lower	mean	0.166727594
lower	mean	0.0194117333
lower	mean	0.1713163685
lower	mean	0.103383249425
lower	mean	0.101623224857143
lower	mean	0.0819792667333333
lower	mean	0.255340995
lower	mean	0.173802571625
lower	mean	0.0806814404916666
lower	mean	0.0709769265583333
lower	mean	0.29577970175
lower	mean	0.0742516247833333
lower	mean	0.780748209
lower	mean	0.524239957416667
lower	mean	0.0405107102083333
lower	mean	0.121090112241667
lower	mean	0.169007104166667
lower	mean	0.110136642975
lower	mean	0.0134681244008333
lower	mean	0.186764977666667
lower	mean	0.0431004463697479
lower	mean	0.08397284615
lower	mean	0.0619122071583333
lower	mean	0.112766173075
lower	mean	0.0384920884285714
lower	mean	0.986209245
lower	mean	0.50286726675
lower	mean	0.028811393722689
lower	mean	0.147436006166667
lower	mean	0.105016408641667
lower	mean	0.104962520316667
lower	mean	0.989011431794872
lower	mean	0.09353933225
lower	mean	0.0833539795666666
lower	mean	0.824663296916667
lower	mean	0.124842641975
lower	mean	0.0290904763865546
lower	mean	0.238948055
lower	mean	0.0602035554
lower	mean	0.0893927443529411
lower	mean	0.145003995533333
lower	mean	0.346777446333333
