Name	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland
ENSG00000233268.3	0.0	0.0	0.0
ENSG00000231789.3	0.970436	1.53517	1.08307
ENSG00000171603.18	55.1657	57.1914	47.1175
ENSG00000271264.1	0.0	0.0	0.0
ENSG00000280113.2	0.0	0.0	0.0
ENSG00000178585.15	25.6297	21.3415	10.8212
ENSG00000285701.1	0.087544	0.061778	0.0
ENSG00000162441.12	14.4177	13.0452	11.9043
ENSG00000228150.1	0.26563	0.309333	0.313364
ENSG00000173614.14	4.52754	4.3624	6.38956
ENSG00000202415.1	0.224718	0.215033	0.133053
ENSG00000283611.2	0.121721	0.090799	0.0
ENSG00000265521.1	0.0	0.0	0.0
ENSG00000162444.12	261.665	302.485	10.8216
ENSG00000130939.20	20.8437	17.3776	26.9885
ENSG00000224340.1	0.0	0.0	0.0
ENSG00000233623.2	0.0598075	0.045653	0.033198
ENSG00000201746.1	0.0	0.0	0.0
ENSG00000054523.19	12.9077	9.58618	13.1375
ENSG00000264881.1	0.0	0.0	0.0
ENSG00000199562.1	0.0	0.0	0.0
ENSG00000284735.1	0.429119	0.183883	0.562576
ENSG00000284642.1	2.83895	1.19118	3.95817
ENSG00000142657.21	143.944	117.925	55.4468
ENSG00000271989.1	0.0	0.0	0.0
ENSG00000175279.22	7.99713	7.10868	16.5409
ENSG00000241563.4	1.34279	1.06822	1.2589
ENSG00000160049.12	13.061	13.8894	12.5581
ENSG00000142655.13	26.1977	22.8969	17.515
ENSG00000287727.1	0.280303	0.149109	0.187694
ENSG00000243267.3	0.337771	0.166154	0.207722
ENSG00000130940.15	3.18729	2.63538	1.45872
ENSG00000272078.1	0.818974	0.812503	0.469145
ENSG00000225158.2	0.0	0.0	0.0
ENSG00000175262.14	0.292626	0.208711	0.144669
ENSG00000215785.2	0.0619065	0.0	0.116361
ENSG00000120948.19	73.5052	64.7088	51.5227
ENSG00000009724.17	4.16899	2.22626	1.99348
